assay_chembl_id,canonical_smiles,molecule_chembl_id,standard_type,standard_units,standard_value,type,units,value,pKi,activity_class,dataset_version,target_chembl_id,target_name,acquisition_date,rdkit_molecular_weight,rdkit_logp,rdkit_hbd,rdkit_hba,rdkit_tpsa,rdkit_rotatable_bonds,rdkit_num_rings,rdkit_num_aromatic_rings,rdkit_num_saturated_rings,rdkit_num_aliphatic_rings,rdkit_num_atoms,rdkit_num_heavy_atoms,rdkit_num_heteroatoms,rdkit_bertz_ct,rdkit_balaban_j,rdkit_kappa1,rdkit_kappa2,rdkit_kappa3,rdkit_max_partial_charge,rdkit_min_partial_charge,rdkit_slogp,rdkit_smr,rdkit_num_pharmacophore_features,mordred_WPath,mordred_ECIndex,mordred_Radius,mordred_Diameter,mordred_ATS8i,mordred_ATS8v,mordred_ATS7i,mordred_ATS7v,mordred_ATS6i,mordred_ATS6v,mordred_ATS5i,mordred_ATS5v,mordred_ATS4i,mordred_ATS4v,mordred_ATS3v,mordred_ATS3i,mordred_ATS2v,mordred_ATS2i,mordred_ATS1v,mordred_ATS8m,mordred_ATS7m,mordred_ATS0v,mordred_ATS6m,mordred_ATS5m,mordred_ATS4m,mordred_ATS0i,mordred_ATS3m,mordred_ATS1i,mordred_ATS2m,mordred_ATS0m,mordred_ATS1m,mordred_ATSC0m,mordred_ATS8Z,mordred_ATS7Z,mordred_ATS6Z,mordred_ATS5Z,mordred_ATSC0v,mordred_ATS4Z,mordred_ATS3Z,mordred_ATS2Z,mordred_ATS8se,mordred_ATS7se,mordred_ATSC7m,mordred_ATS6se,mordred_ATSC5m,mordred_ATSC6m,mordred_ATS0Z,mordred_ATSC7v,mordred_ATSC5v,mordred_ATSC8v,geom_phi_resonance,geom_pi_resonance,geom_sqrt2_resonance,geom_e_resonance,geom_geometric_complexity,geom_molecular_symmetry,geom_lipophilic_balance,geom_polar_surface_ratio,geom_harmonic_mean,geom_geometric_mean,geom_phi_pi_interaction,geom_sqrt2_e_interaction,feature_version,feature_date
CHEMBL3801477,COc1ccc(CC(C)NCC(O)c2ccc(O)c(NC=O)c2)cc1,CHEMBL1256786,Ki,nM,13000.0,Ki,nM,13000.0,4.886056647693163,Inactive,v2.0_streamlined,CHEMBL217,Dopamine D2 Receptor,2025-09-18,,,,,,,,,,,,,,,,,,,,,,,,1810,630,8,16,15689.69572003277,13479.509078752968,16439.205060769473,14605.858390097917,18958.77954732437,16168.556916970714,21150.93810086141,18127.665410566562,20338.810806643924,19649.897766589496,20253.894503733653,17531.605282418936,17761.16983794655,12974.624731950642,12630.168303108485,3982.3304889999995,4389.006166,10145.022453880385,4775.5358479999995,5504.519372,5768.091334,8011.401683121976,6432.083407,7404.9557689879,5936.856574,4181.667937000001,4388.896166,1760.8733059591834,1159.0,1282.0,1408.0,1595.0,2429.7671139389345,1678.0,1808.0,1620.0,717.894028,765.46244,-86.80885983423559,875.0518239999999,363.04423694418995,-197.9309823327779,1062.0,-332.2244590906522,-45.45384417497838,496.08147863711315,,,,,,,,,,,,,v2.0_comprehensive,2025-09-18
CHEMBL5235417,CCOC(=O)N1CCN(Cc2cnn(-c3ccc(Cl)cc3)c2)CC1,CHEMBL5277859,Ki,nM,10200.0,Ki,nM,10200.0,4.991399828238082,Inactive,v2.0_streamlined,CHEMBL217,Dopamine D2 Receptor,2025-09-18,,,,,,,,,,,,,,,,,,,,,,,,1598,617,8,16,10480.138390498176,11003.135150531307,15966.950310886254,12351.337666802958,15425.249763797881,14598.928548261563,16389.92272789413,16095.54126676006,18560.814671373402,17700.58452213976,18858.342525639673,16982.017489528313,17309.73033316524,13380.474271004137,11994.263782269807,3723.19544,4162.358793,9762.55516801668,4797.278548000002,5163.043362999998,5813.7827019999995,7422.7969967011295,6608.674827000002,7027.320163264895,6732.759288999998,5027.250099000002,4698.038959000003,2323.1819531999995,1034.0,1191.0,1365.0,1474.0,2256.1195832858216,1669.0,1839.0,1803.0,488.885974,701.9668640000001,589.04565492,708.4039320000003,-278.3559024,44.09183840000004,1246.0,1089.2174934496768,-111.44931759849787,141.18649250228233,,,,,,,,,,,,,v2.0_comprehensive,2025-09-18
CHEMBL4350893,Cc1cccc(N2CCN(CCCCNC(=O)c3ccc(-c4ccsc4)cc3)CC2)c1,CHEMBL4438630,Ki,nM,16318.0,Ki,nM,16318.0,4.787333071206577,Inactive,v2.0_streamlined,CHEMBL217,Dopamine D2 Receptor,2025-09-18,,,,,,,,,,,,,,,,,,,,,,,,3655,1073,10,20,19566.830648124564,16865.697104767794,22234.34320888645,18233.394375095515,24072.08942487117,20935.950878145624,27348.222192491816,24188.28227724609,26605.163856434516,26282.946074038675,27095.196694754097,24172.323630185794,24800.357539085642,17692.989796227706,17146.241459521047,5394.279224,5190.710013,13518.146056237463,5568.201354999999,6646.508255000001,7458.572736,9955.601752524319,7868.359889999998,9403.511331324307,8107.059162999997,5654.764878000002,6003.620404000003,2622.1664748387097,1539.0,1523.0,1664.0,1969.0,3354.0184206161657,2166.0,2244.0,2223.0,872.5508560000001,985.8873260000001,537.9584711737768,1080.1899340000002,-104.15490259521364,-102.06153472528638,1434.0,345.10663492402875,137.35673721475357,884.1943197455884,,,,,,,,,,,,,v2.0_comprehensive,2025-09-18
CHEMBL934518,FCCOc1ccc(N2CCN(Cc3cc4ccccn4n3)CC2)cc1,CHEMBL272853,Ki,nM,30000.0,Ki,nM,30000.0,4.522878745280337,Inactive,v2.0_streamlined,CHEMBL217,Dopamine D2 Receptor,2025-09-18,,,,,,,,,,,,,,,,,,,,,,,,2028,745,9,17,12677.619082512088,13550.490294674633,14645.081143850883,14026.744630006964,19120.06650325842,16083.375231047152,20152.56574526172,18502.252743537276,19607.89301582653,20304.941250757583,21310.285138013624,19278.005299583634,19510.95257031888,14706.467391867043,13426.906034644873,3952.4261616223994,4263.0660796863995,10551.955632431227,4863.7349975216,5313.206695670399,5706.6570348352,8122.958615240228,6721.441489648,7737.565905386701,6821.831919686399,4310.343413149771,4909.545500835199,1746.6658243189909,1137.0,1222.0,1408.0,1536.0,2445.986248967107,1650.0,1892.0,1852.0,600.754568,672.795016,-228.6172730381706,853.6214200000001,146.40415971517277,152.0752388815538,1084.0,224.96595480786104,-381.66117973169156,-816.526878561161,,,,,,,,,,,,,v2.0_comprehensive,2025-09-18
CHEMBL673073,COc1c(-c2nc(CNC[C@@H]3CCN(Cc4ccccc4)C3)co2)cc(Br)c2ccccc12,CHEMBL62601,Ki,nM,45500.0,Ki,nM,45500.0,4.341988603342887,Inactive,v2.0_streamlined,CHEMBL217,Dopamine D2 Receptor,2025-09-18,,,,,,,,,,,,,,,,,,,,,,,,3856,1096,10,19,19366.296554353175,18021.44412208157,22243.812993499923,21647.669097095102,24795.913300961223,25341.330125410048,23268.855460779072,27247.450952394058,26547.834795593153,28306.23719528547,29023.16405633001,22916.479490221824,26413.61624721854,17457.525895106843,17776.575120732523,6167.718669999999,7133.746270999998,14171.433727621094,9580.924644,12342.557422000005,12087.482205,9745.330501583974,11274.720211000002,9393.817350314608,10150.747433000004,11408.754423999999,6853.6628960000035,7204.073684065572,1745.0,2056.0,2592.0,3217.0,3296.0444250625815,3168.0,2986.0,2651.0,890.4511020000001,1032.772618,-1850.9956148532654,1154.015098,584.1264123327076,234.70437209674776,2500.0,-903.8959963882536,-730.7832524196472,-254.82510249538515,,,,,,,,,,,,,v2.0_comprehensive,2025-09-18
CHEMBL5731695,O=C(NCCCCN1CCN(c2cc(C(F)(F)F)nc3ccccc23)CC1)N1CCC(c2ccccc2)CC1,CHEMBL6003107,Ki,nM,100000.0,Ki,nM,100000.0,4.0,Inactive,v2.0_streamlined,CHEMBL217,Dopamine D2 Receptor,2025-09-18,,,,,,,,,,,,,,,,,,,,,,,,6564,1521,11,22,27959.415057259455,21845.26647374599,35185.14554218265,26707.1541963352,36059.379519391056,31589.59129519759,36921.07955085154,34058.96926032594,35611.87562100935,35193.41574179284,35433.66278267858,32718.365562797553,30523.564089141753,23198.174880837098,20411.53211785941,6846.8947162512,8636.383875177598,15788.615512112603,10078.828111299199,10626.026991878398,10602.349102288003,12613.179634945467,11329.530743372801,11723.042992622806,11033.086704954914,6684.268152449311,7252.562734505603,2801.3466747284265,1996.0,2511.0,2864.0,3007.0,3737.133949037055,3028.0,3145.0,2952.0,1245.5754200000001,1569.0826640000002,-399.6205967778659,1638.2877520000002,522.6418735766283,254.6169419873849,1668.0,119.84625183513477,57.110635480150954,621.3941109934985,,,,,,,,,,,,,v2.0_comprehensive,2025-09-18
CHEMBL4415924,CCc1cc(Cl)c(OC)c(N2CCN(C[C@H](O)CCNC(=O)c3cc4ccccc4[nH]3)CC2)c1,CHEMBL4555827,Ki,nM,10800.0,Ki,nM,10800.0,4.966576244513051,Inactive,v2.0_streamlined,CHEMBL217,Dopamine D2 Receptor,2025-09-18,,,,,,,,,,,,,,,,,,,,,,,,4318,1112,10,19,27600.851616482934,20806.52998707269,29096.198092294708,23441.52628355842,29070.2412894524,26862.784846156,30870.971040972243,28864.959196806532,29405.10069552146,30190.67407588895,30246.98678214314,26581.32639027601,26400.971429881243,19626.74037381529,17898.43403751067,6055.343695,6667.392296,14163.602993896167,8448.452352999999,9316.632363,10243.707601,10968.409311604619,10512.07886,10359.594782924753,9332.389876999998,6593.787957000001,6458.215082000001,3082.605111850746,1775.0,2013.0,2490.0,2693.0,3430.0488515099873,2866.0,2901.0,2520.0,1208.501866,1312.9940779999997,-710.3915891303188,1366.509496,-1015.249497999109,-1783.5707587676543,1646.0,-846.974354217401,-404.404643455729,1362.8728639350297,,,,,,,,,,,,,v2.0_comprehensive,2025-09-18
CHEMBL673073,c1ccc(CN2CCN(Cc3coc(-c4ccccc4)n3)CC2)cc1,CHEMBL62703,Ki,nM,27500.0,Ki,nM,27500.0,4.560667306169737,Inactive,v2.0_streamlined,CHEMBL217,Dopamine D2 Receptor,2025-09-18,,,,,,,,,,,,,,,,,,,,,,,,1813,683,8,16,12118.711107683634,12467.273312421848,16076.454367401671,13831.365710858441,16091.506032181536,16396.131442974765,18492.81483069907,17764.374911317005,21004.350311456263,18948.90605003827,20619.97585011648,18324.669470864683,19410.351447260735,13866.824423897946,13435.788461217944,3398.4424069999995,3746.721628,10555.114355276726,4516.901067999999,5189.442852999999,5390.448065,7734.958948680228,5977.712801,7420.070273686701,6320.357641,3897.4721609999997,4605.449795999999,1581.2450938124998,983.0,1107.0,1329.0,1482.0,2497.433145321972,1565.0,1709.0,1726.0,556.570468,720.742408,72.2618497578128,755.177232,250.15601387890635,-729.1720207304688,990.0,171.6553768513479,630.5502157798512,-196.41699275523837,,,,,,,,,,,,,v2.0_comprehensive,2025-09-18
CHEMBL5738666,CC1(O)CCN(CC2COc3ccccc3O2)CC1,CHEMBL5976926,Ki,nM,20000.0,Ki,nM,20000.0,4.698970004336019,Inactive,v2.0_streamlined,CHEMBL217,Dopamine D2 Receptor,2025-09-18,,,,,,,,,,,,,,,,,,,,,,,,758,356,6,11,9078.641794229388,8736.012558197217,11326.333944138174,9733.364099549599,12423.352540169779,10635.46674720082,16407.15209730696,12030.968658215099,19909.911135107508,14746.400319202388,17539.8818701987,17517.23963147303,15679.80362616706,12179.247228501486,10359.144334552399,2398.71318,2866.1519110000004,7897.998663404234,2962.432094999999,3309.1377730000004,3952.540307,6552.779954076729,5362.670359000001,6153.653480889147,5384.296705999999,3149.399211000001,3599.2365009999985,1415.7398217749997,717.0,831.0,887.0,986.0,2005.1700461532882,1207.0,1566.0,1473.0,432.86832,516.890628,220.28212653812506,576.4303960000002,455.47748487625006,-302.34563829749993,802.0,344.7193039139223,692.7413527202697,-553.0759345553206,,,,,,,,,,,,,v2.0_comprehensive,2025-09-18
CHEMBL995087,CCCNCCCCNC(=O)c1ccc(-c2ccccc2)cc1,CHEMBL444128,Ki,nM,21000.0,Ki,nM,21000.0,4.6777807052660805,Inactive,v2.0_streamlined,CHEMBL217,Dopamine D2 Receptor,2025-09-18,,,,,,,,,,,,,,,,,,,,,,,,1564,615,9,17,12427.452948839127,11044.738987706625,14194.65841981752,12147.550769752024,15993.190399128467,13878.777325183193,16990.471352783225,15592.779070698722,18201.39064032137,16907.20781208183,18460.374308718874,18795.994064749713,17292.34295299475,13356.548126220741,12561.203302535001,3206.482689,3394.0967299999998,9981.534513598504,3534.4579189999995,4056.9163139999996,4600.971716999999,7951.677485852974,5151.649533,7287.292804967201,5021.752768999999,3560.060183,3924.9428199999998,1593.2517242040815,932.0,991.0,1052.0,1202.0,2574.3481111947403,1349.0,1476.0,1409.0,564.68398,636.3374560000001,262.1852259845898,715.613852,-166.57194584548105,84.40373709787599,908.0,140.95535514822024,-24.39328662061883,0.39537851974509997,,,,,,,,,,,,,v2.0_comprehensive,2025-09-18
CHEMBL886705,COc1cccc(C2=NCCc3c2[nH]c2ccc(OC)cc32)c1,CHEMBL241082,Ki,nM,25000.0,Ki,uM,25.0,4.6020599913279625,Inactive,v2.0_streamlined,CHEMBL217,Dopamine D2 Receptor,2025-09-18,,,,,,,,,,,,,,,,,,,,,,,,1147,454,6,12,11912.78680812478,10714.74303809768,13485.182354480032,13785.628012321013,15170.794094739835,16755.819573561144,16072.78471996523,18476.458630306413,14560.99203472104,19725.983358348123,19958.582027869656,13381.042506634745,17908.31977086315,11410.06004247729,12155.752417518883,2886.1086669999995,3968.621313,9525.73843336609,5074.449648000001,5679.444424,6125.729098999998,6530.993199371482,6575.375475000001,6351.029469725598,6096.674152999999,3663.6355510000003,4258.301994000001,1374.3791308780485,855.0,1156.0,1434.0,1585.0,2094.3764648168435,1702.0,1777.0,1624.0,544.4590680000001,637.564748,-535.5596507745388,719.9087439999998,107.50452503509814,-114.14471147055313,928.0,-520.6730351591895,-97.46563108247092,-177.26084701654247,,,,,,,,,,,,,v2.0_comprehensive,2025-09-18
CHEMBL671745,CN1C2CCC1CC1(C2)OC=C(c2ccccc2)C1=O.Cl,CHEMBL541055,Ki,nM,10000.0,Ki,nM,10000.0,5.0,Inactive,v2.0_streamlined,CHEMBL217,Dopamine D2 Receptor,2025-09-18,,,,,,,,,,,,,,,,,,,,,,,,2000000755,4600000000,100000000,100000000,8951.272426030435,7997.706367268988,9951.826956058785,9786.435236092759,10146.275249618744,11519.94142346188,17469.96708978385,14514.311822825593,19552.82779893548,18390.338104025665,20811.16515286688,17502.719589632583,17979.60690434757,11959.16464965729,11376.163804458827,1885.1737459999997,2404.6520930000006,9001.528903920698,3203.170657000001,4590.444909000002,5140.943134000002,6604.15915624688,6307.185899000001,6192.177001410188,5901.693714999999,4437.645888000001,3799.4645269999983,2156.7955659512195,575.0,725.0,945.0,1296.0,2180.632498244965,1519.0,1776.0,1592.0,401.61156000000005,462.94722,-386.6348867299227,503.99886000000004,1214.9984308322423,-1005.6341152641286,1098.0,-478.6966195492363,1793.1674992040846,-352.9079063721334,,,,,,,,,,,,,v2.0_comprehensive,2025-09-18
